"","groupid","name","year","failure","allies","alliesties","size","religious","ethnic","drugs","statesponsored","wbgi_gee_cs","polity2","logpop","namerica","latamerica","ssafrica","meast","asia","spline1","spline2","spline3","alliesXgee","alliesXpolity2","alliesXfhouse17","alliesXrgdpch","alliesXcinc","fhouse17","europe","rgdpch","cinc","ccode","age","startdate","enddate"
"1833",402,"Islamic Great Eastern Raiders Front (IBDA-C)",2003,0,1,0,0,1,1,0,0,0.0374785251915455,7,11.1640577316284,0,0,0,1,0,2003,12.3419752120972,2.88641977310181,0.0374785251915455,7,4.5,6.25360155105591,0.0139087997376919,4.5,0,6.25360155105591,0.0139087997376919,640,34,1970,9999
"1834",402,"Islamic Great Eastern Raiders Front (IBDA-C)",2004,0,1,0,0,1,1,0,0,0.0374785251915455,7,11.1790399551392,0,0,0,1,0,2004,14.4524688720703,3.63395071029663,0.0374785251915455,7,5,6.73709297180176,0.013875599950552,5,0,6.73709297180176,0.013875599950552,640,35,1970,9999
"1835",402,"Islamic Great Eastern Raiders Front (IBDA-C)",2005,0,1,0,0,1,1,0,0,0.0374785251915455,7,11.193736076355,0,0,0,1,0,2005,16.6111106872559,4.40740728378296,0.0374785251915455,7,5,7.13283109664917,0.0139533001929522,5,0,7.13283109664917,0.0139533001929522,640,36,1970,9999
"1836",403,"Islamic Jihad Brigades",2005,0,1,0.0086856447160244,0,1,0,0,0,-1.78292775154114,NA,10.1687288284302,0,0,0,1,0,2005,16.6111106872559,4.40740728378296,-1.78292775154114,NA,2.5,3.6825590133667,0.00472899992018938,2.5,0,3.6825590133667,0.00472899992018938,645,1,2005,9999
"1837",404,"Islamic Resistance Brigades",2004,0,0,0,0,1,1,0,0,-1.78292775154114,NA,10.1415071487427,0,0,0,1,0,2004,14.4524688720703,3.63395071029663,0,NA,0,0,0,2,0,3.66319966316223,0.00575240002945065,645,1,2004,9999
"1838",404,"Islamic Resistance Brigades",2005,0,0,0,0,1,1,0,0,-1.78292775154114,NA,10.1687288284302,0,0,0,1,0,2005,16.6111106872559,4.40740728378296,0,NA,0,0,0,2.5,0,3.6825590133667,0.00472899992018938,645,2,2004,9999
"1839",405,"Islamic Salvation Front",1989,0,1,0,0,1,0,0,1,-0.68172562122345,-2,10.1062774658203,0,0,0,1,0,1989,0.0246913582086563,0,-0.68172562122345,-2,3,5.34412574768066,0.00443670013919473,3,0,5.34412574768066,0.00443670013919473,615,1,1989,1997
"1840",405,"Islamic Salvation Front",1990,0,1,0,0,1,0,0,1,-0.68172562122345,-2,10.1301860809326,0,0,0,1,0,1990,0.0833333358168602,0,-0.68172562122345,-2,4,5.31463193893433,0.00446349987760186,4,0,5.31463193893433,0.00446349987760186,615,2,1989,1997
"1841",405,"Islamic Salvation Front",1991,0,1,0,0,1,0,0,1,-0.68172562122345,-2,10.1537437438965,0,0,0,1,0,1991,0.19753086566925,0,-0.68172562122345,-2,4,5.19680070877075,0.00451420014724135,4,0,5.19680070877075,0.00451420014724135,615,3,1989,1997
"1842",405,"Islamic Salvation Front",1992,0,1,0,0,1,0,0,1,-0.68172562122345,-7,10.1772651672363,0,0,0,1,0,1992,0.38580247759819,0,-0.68172562122345,-7,1.5,5.11261606216431,0.00476199993863702,1.5,0,5.11261606216431,0.00476199993863702,615,4,1989,1997
"1843",405,"Islamic Salvation Front",1993,0,1,0,0,1,0,0,1,-0.68172562122345,-7,10.2004928588867,0,0,0,1,0,1993,0.666666686534882,0,-0.68172562122345,-7,1.5,4.89586734771729,0.00468159979209304,1.5,0,4.89586734771729,0.00468159979209304,615,5,1989,1997
"1844",405,"Islamic Salvation Front",1994,0,1,0,0,1,0,0,1,-0.68172562122345,-7,10.2227220535278,0,0,0,1,0,1994,1.05864202976227,0.00308641977608204,-0.68172562122345,-7,1,4.72787952423096,0.00470149982720613,1,0,4.72787952423096,0.00470149982720613,615,6,1989,1997
"1845",405,"Islamic Salvation Front",1995,0,1,0,0,1,0,0,1,-0.68172562122345,-3,10.2431383132935,0,0,0,1,0,1995,1.580246925354,0.0246913582086563,-0.68172562122345,-3,2,4.81368350982666,0.00469599990174174,2,0,4.81368350982666,0.00469599990174174,615,7,1989,1997
"1846",405,"Islamic Salvation Front",1996,0,1,0,0,1,0,0,1,-0.68172562122345,-3,10.261302947998,0,0,0,1,0,1996,2.25,0.0833333358168602,-0.68172562122345,-3,2,4.98766136169434,0.004725799895823,2,0,4.98766136169434,0.004725799895823,615,8,1989,1997
"1847",405,"Islamic Salvation Front",1997,1,1,0,0,1,0,0,1,-0.68172562122345,-3,10.277928352356,0,0,0,1,0,1997,3.08641982078552,0.19753086566925,-0.68172562122345,-3,2,4.95584297180176,0.00466430000960827,2,0,4.95584297180176,0.00466430000960827,615,9,1989,1997
"1848",406,"Jaish al-Taifa al-Mansoura",2003,0,2,0.158833459019661,0,1,0,0,0,-1.78292775154114,NA,10.1138830184937,0,0,0,1,0,2003,12.3419752120972,2.88641977310181,-3.56585550308228,NA,4,5.66616582870483,0.0132534001022577,2,0,2.83308291435242,0.00662670005112886,645,1,2003,9999
"1849",406,"Jaish al-Taifa al-Mansoura",2004,0,3,0.158833459019661,0,1,0,0,0,-1.78292775154114,NA,10.1415071487427,0,0,0,1,0,2004,14.4524688720703,3.63395071029663,-5.34878349304199,NA,6,10.9895992279053,0.0172572005540133,2,0,3.66319966316223,0.00575240002945065,645,2,2003,9999
"1850",406,"Jaish al-Taifa al-Mansoura",2005,0,4,0.158833459019661,0,1,0,0,0,-1.78292775154114,NA,10.1687288284302,0,0,0,1,0,2005,16.6111106872559,4.40740728378296,-7.13171100616455,NA,10,14.7302360534668,0.0189159996807575,2.5,0,3.6825590133667,0.00472899992018938,645,3,2003,9999
"1851",407,"Japanese Red Army",1987,0,2,0.0129896514117718,0,0,0,0,1,-0.195741176605225,0,8.03647613525391,0,0,0,1,0,1987,0,0,-0.391482353210449,0,5,36.8210144042969,0.00102540000807494,2.5,0,18.4105072021484,0.00051270000403747,660,18,1970,2001
"1852",407,"Japanese Red Army",1988,0,2,0.0129896514117718,0,0,0,0,1,-0.195741176605225,0,8.0386209487915,0,0,0,1,0,1988,0.00308641977608204,0,-0.391482353210449,0,5,27.6433200836182,0.000645200023427606,2.5,0,13.8216600418091,0.000322600011713803,660,19,1970,2001
"1853",407,"Japanese Red Army",1989,0,2,0.0129896514117718,0,0,0,0,1,-0.195741176605225,0,8.04212379455566,0,0,0,1,0,1989,0.0246913582086563,0,-0.391482353210449,0,5,15.6494054794312,0.000722200027666986,2.5,0,7.82470273971558,0.000361100013833493,660,20,1970,2001
"1854",407,"Japanese Red Army",1990,0,2,0.0129896514117718,0,0,0,0,1,-0.195741176605225,NA,8.05505466461182,0,0,0,1,0,1990,0.0833333358168602,0,-0.391482353210449,NA,5,12.535719871521,0.000855199992656708,2.5,0,6.2678599357605,0.000427599996328354,660,21,1970,2001
"1855",407,"Japanese Red Army",1991,0,2,0.0129896514117718,0,0,0,0,1,-0.195741176605225,NA,8.06953239440918,0,0,0,1,0,1991,0.19753086566925,0,-0.391482353210449,NA,6,14.907811164856,0.000913799973204732,3,0,7.45390558242798,0.000456899986602366,660,22,1970,2001
"1856",407,"Japanese Red Army",1992,0,2,0.0129896514117718,0,0,0,0,1,-0.195741176605225,NA,8.07787895202637,0,0,0,1,0,1992,0.38580247759819,0,-0.391482353210449,NA,7,12.3105163574219,0.000991799985058606,3.5,0,6.15525817871094,0.000495899992529303,660,23,1970,2001
"1857",407,"Japanese Red Army",1993,0,2,0.0129896514117718,0,0,0,0,1,-0.195741176605225,NA,8.08790588378906,0,0,0,1,0,1993,0.666666686534882,0,-0.391482353210449,NA,5,12.6731357574463,0.00102740002330393,2.5,0,6.33656787872314,0.000513700011651963,660,24,1970,2001
"1858",407,"Japanese Red Army",1994,0,2,0.0129896514117718,0,0,0,0,1,-0.195741176605225,NA,8.09958362579346,0,0,0,1,0,1994,1.05864202976227,0.00308641977608204,-0.391482353210449,NA,5,13.4989051818848,0.0012533999979496,2.5,0,6.74945259094238,0.0006266999989748,660,25,1970,2001
"1859",407,"Japanese Red Army",1995,0,2,0.0129896514117718,0,0,0,0,1,-0.195741176605225,NA,8.11286163330078,0,0,0,1,0,1995,1.580246925354,0.0246913582086563,-0.391482353210449,NA,5,14.4373664855957,0.00137880002148449,2.5,0,7.21868324279785,0.000689400010742247,660,26,1970,2001
"1860",407,"Japanese Red Army",1996,0,2,0.0129896514117718,0,0,0,0,1,-0.195741176605225,NA,8.12696933746338,0,0,0,1,0,1996,2.25,0.0833333358168602,-0.391482353210449,NA,5,14.7788848876953,0.00139740004669875,2.5,0,7.38944244384766,0.000698700023349375,660,27,1970,2001
"1861",407,"Japanese Red Army",1997,0,2,0.0129896514117718,0,0,0,0,1,-0.195741176605225,NA,8.14113903045654,0,0,0,1,0,1997,3.08641982078552,0.19753086566925,-0.391482353210449,NA,5,16.1859817504883,0.00151720002759248,2.5,0,8.09299087524414,0.00075860001379624,660,28,1970,2001
"1862",407,"Japanese Red Army",1998,0,0,9.10000003433368e-19,0,0,0,0,1,-0.195741176605225,NA,8.15529727935791,0,0,0,1,0,1998,4.10802459716797,0.38580247759819,0,NA,0,0,0,2.5,0,8.11207008361816,0.000759600021410733,660,29,1970,2001
"1863",407,"Japanese Red Army",1999,0,0,9.10000003433368e-19,0,0,0,0,1,-0.195741176605225,NA,8.16937923431396,0,0,0,1,0,1999,5.33333349227905,0.666666686534882,0,NA,0,0,0,2.5,0,7.61078548431396,0.000751500017940998,660,30,1970,2001
"1864",407,"Japanese Red Army",2000,0,0,9.10000003433368e-19,0,0,0,0,1,-0.195741176605225,NA,8.18332099914551,0,0,0,1,0,2000,6.78086423873901,1.05864202976227,0,NA,0,0,0,2.5,0,7.50541019439697,0.000796700012870133,660,31,1970,2001
"1865",407,"Japanese Red Army",2001,1,0,9.10000003433368e-19,0,0,0,0,1,-0.195741176605225,NA,8.19715309143066,0,0,0,1,0,2001,8.4580249786377,1.5728394985199,0,NA,0,0,0,2.5,0,7.66885185241699,0.000887600006535649,660,32,1970,2001
"1866",408,"Jenin Martyrs' Brigade",2003,0,1,0.0101164178922772,0,1,1,0,0,1.05440270900726,10,8.77831363677979,0,0,0,1,0,2003,12.3419752120972,2.88641977310181,1.05440270900726,10,6,20.82981300354,0.0038610000628978,6,0,20.82981300354,0.0038610000628978,666,1,2003,9999
"1867",408,"Jenin Martyrs' Brigade",2004,0,1,0.0101164178922772,0,1,1,0,0,1.05440270900726,10,8.79750728607178,0,0,0,1,0,2004,14.4524688720703,3.63395071029663,1.05440270900726,10,6,21.4705619812012,0.00370180001482368,6,0,21.4705619812012,0.00370180001482368,666,2,2003,9999
"1868",408,"Jenin Martyrs' Brigade",2005,0,1,0.0101164178922772,0,1,1,0,0,1.05440270900726,10,8.81624794006348,0,0,0,1,0,2005,16.6111106872559,4.40740728378296,1.05440270900726,10,6.5,22.3271389007568,0.00379050010815263,6.5,0,22.3271389007568,0.00379050010815263,666,3,2003,9999
"1869",409,"Jund Allah Organization for the Sunni Mujahideen in Iran",2005,0,0,-1.0399999659172e-32,0,1,0,0,0,-0.580213606357574,-6,11.0780916213989,0,0,0,1,0,2005,16.6111106872559,4.40740728378296,0,0,0,0,0,2,0,9.4982795715332,0.0124364998191595,630,1,2005,9999
"1870",410,"June 16 Organization",1987,0,0,-5.47000001321467e-23,0,0,0,0,0,0.0374785251915455,7,10.8826150894165,0,0,0,1,0,1987,0,0,0,0,0,0,0,5,0,5.07651233673096,0.0130893997848034,640,1,1987,1989
"1871",410,"June 16 Organization",1988,0,0,-5.47000001321467e-23,0,0,0,0,0,0.0374785251915455,7,10.9033012390137,0,0,0,1,0,1988,0.00308641977608204,0,0,0,0,0,0,5,0,5.02739572525024,0.0132922995835543,640,2,1987,1989
"1872",410,"June 16 Organization",1989,1,0,-5.47000001321467e-23,0,0,0,0,0,0.0374785251915455,9,10.9234619140625,0,0,0,1,0,1989,0.0246913582086563,0,0,0,0,0,0,5,0,4.95024394989014,0.0125038996338844,640,3,1987,1989
"1873",411,"Kach",1987,0,1,2.59000003897674e-21,0,1,1,0,0,1.05440270900726,9,8.34530735015869,0,0,0,1,0,1987,0,0,1.05440270900726,9,6,16.3908061981201,0.00260200002230704,6,0,16.3908061981201,0.00260200002230704,666,17,1971,9999
"1874",411,"Kach",1988,0,1,2.59000003897674e-21,0,1,1,0,0,1.05440270900726,9,8.36218547821045,0,0,0,1,0,1988,0.00308641977608204,0,1.05440270900726,9,6,16.498908996582,0.00270560011267662,6,0,16.498908996582,0.00270560011267662,666,18,1971,9999
"1875",411,"Kach",1989,0,1,2.59000003897674e-21,0,1,1,0,0,1.05440270900726,9,8.37915897369385,0,0,0,1,0,1989,0.0246913582086563,0,1.05440270900726,9,6,16.2017135620117,0.00303100002929568,6,0,16.2017135620117,0.00303100002929568,666,19,1971,9999
"1876",411,"Kach",1990,0,0,2.59000003897674e-21,0,1,1,0,0,1.05440270900726,9,8.40688896179199,0,0,0,1,0,1990,0.0833333358168602,0,0,0,0,0,0,6,0,17.1546173095703,0.00295830005779862,666,20,1971,9999
"1877",411,"Kach",1991,0,0,2.59000003897674e-21,0,1,1,0,0,1.05440270900726,9,8.44448089599609,0,0,0,1,0,1991,0.19753086566925,0,0,0,0,0,0,6,0,18.2936344146729,0.0029186001047492,666,21,1971,9999
"1878",411,"Kach",1992,0,0,2.59000003897674e-21,0,1,1,0,0,1.05440270900726,9,8.48104000091553,0,0,0,1,0,1992,0.38580247759819,0,0,0,0,0,0,6,0,18.8765506744385,0.00361429993063211,666,22,1971,9999
"1879",411,"Kach",1993,0,0,2.59000003897674e-21,0,1,1,0,0,1.05440270900726,9,8.51674747467041,0,0,0,1,0,1993,0.666666686534882,0,0,0,0,0,0,6,0,18.939582824707,0.00385039998218417,666,23,1971,9999
"1880",411,"Kach",1994,0,0,2.59000003897674e-21,0,1,1,0,0,1.05440270900726,9,8.55156707763672,0,0,0,1,0,1994,1.05864202976227,0.00308641977608204,0,0,0,0,0,6,0,19.6361331939697,0.00349120004102588,666,24,1971,9999
"1881",411,"Kach",1995,0,0,2.59000003897674e-21,0,1,1,0,0,1.05440270900726,9,8.58539390563965,0,0,0,1,0,1995,1.580246925354,0.0246913582086563,0,0,0,0,0,6,0,20.3688125610352,0.00396919995546341,666,25,1971,9999
"1882",411,"Kach",1996,0,0,2.59000003897674e-21,0,1,1,0,0,1.05440270900726,9,8.61513996124268,0,0,0,1,0,1996,2.25,0.0833333358168602,0,0,0,0,0,6,0,20.9730091094971,0.00435240007936954,666,26,1971,9999
"1883",411,"Kach",1997,0,0,2.59000003897674e-21,0,1,1,0,0,1.05440270900726,9,8.64119529724121,0,0,0,1,0,1997,3.08641982078552,0.19753086566925,0,0,0,0,0,6,0,20.9262256622314,0.00449630012735724,666,27,1971,9999
"1884",411,"Kach",1998,0,1,0,0,1,1,0,0,1.05440270900726,9,8.66711616516113,0,0,0,1,0,1998,4.10802459716797,0.38580247759819,1.05440270900726,9,6,21.1153812408447,0.0040862001478672,6,0,21.1153812408447,0.0040862001478672,666,28,1971,9999
"1885",411,"Kach",1999,0,1,0,0,1,1,0,0,1.05440270900726,10,8.69287490844727,0,0,0,1,0,1999,5.33333349227905,0.666666686534882,1.05440270900726,10,6.5,21.1671543121338,0.003961400128901,6.5,0,21.1671543121338,0.003961400128901,666,29,1971,9999
